datetime,site_id,users,throughput_mbps,sinr_db,energy_w
2025-04-02 17:00:00,Site_1,354,634.19,18.37,630.25
2025-04-02 18:00:00,Site_1,303,588.59,21.81,550.81
2025-04-02 19:00:00,Site_1,252,382.01,24.97,486.07
2025-04-02 20:00:00,Site_1,176,275.92,24.95,375.2
2025-04-02 21:00:00,Site_1,152,333.11,29.83,330.83
2025-04-02 22:00:00,Site_1,121,349.2,26.98,278.11
2025-04-02 23:00:00,Site_1,130,322.78,27.5,294.59
2025-04-03 00:00:00,Site_1,94,216.22,27.7,241.2
2025-04-03 01:00:00,Site_1,35,93.8,31.11,144.48
2025-04-03 02:00:00,Site_1,94,192.88,26.1,246.79
2025-04-03 03:00:00,Site_1,94,317.8,27.89,245.6
2025-04-03 04:00:00,Site_1,115,410.16,26.34,287.9
2025-04-03 05:00:00,Site_1,185,560.46,25.73,390.05
2025-04-03 06:00:00,Site_1,239,736.6,25.13,451.64
2025-04-03 07:00:00,Site_1,283,914.8,23.06,532.7
2025-04-03 08:00:00,Site_1,285,859.07,18.47,517.99
2025-04-03 09:00:00,Site_1,342,1020.31,23.09,619.96
2025-04-03 10:00:00,Site_1,395,1251.73,18.62,687.33
2025-04-03 11:00:00,Site_1,440,1164.89,15.44,749.77
2025-04-03 12:00:00,Site_1,421,1031.0,17.5,734.3
2025-04-03 13:00:00,Site_1,435,969.84,17.04,725.75
2025-04-03 14:00:00,Site_1,406,917.55,16.79,691.49
2025-04-03 15:00:00,Site_1,385,761.06,18.82,675.73
2025-04-03 16:00:00,Site_1,407,731.81,16.84,711.32
2025-04-03 17:00:00,Site_1,383,777.81,17.99,670.81
2025-04-03 18:00:00,Site_1,304,632.38,20.33,540.21
2025-04-03 19:00:00,Site_1,285,483.77,19.88,519.32
2025-04-03 20:00:00,Site_1,222,308.43,24.45,436.91
2025-04-03 21:00:00,Site_1,153,367.22,27.52,335.32
2025-04-03 22:00:00,Site_1,141,262.07,27.84,311.34
2025-04-03 23:00:00,Site_1,142,376.71,28.26,324.57
2025-04-04 00:00:00,Site_1,85,94.29,29.51,231.47
2025-04-04 01:00:00,Site_1,119,372.62,27.04,271.03
2025-04-04 02:00:00,Site_1,30,50.0,32.0,142.19
2025-04-04 03:00:00,Site_1,124,415.22,25.62,271.97
2025-04-04 04:00:00,Site_1,134,417.09,25.96,299.92
2025-04-04 05:00:00,Site_1,162,457.3,24.88,354.12
2025-04-04 06:00:00,Site_1,215,663.58,26.1,429.35
2025-04-04 07:00:00,Site_1,210,708.17,26.06,429.02
2025-04-04 08:00:00,Site_1,301,941.33,22.2,548.47
2025-04-04 09:00:00,Site_1,358,1107.27,21.08,650.46
2025-04-04 10:00:00,Site_1,424,1326.99,15.84,734.07
2025-04-04 11:00:00,Site_1,402,983.98,18.45,717.72
2025-04-04 12:00:00,Site_1,413,1129.53,17.36,719.28
2025-04-04 13:00:00,Site_1,427,996.4,18.33,747.57
2025-04-04 14:00:00,Site_1,456,926.47,15.87,798.75
2025-04-04 15:00:00,Site_1,424,770.31,16.58,734.07
2025-04-04 16:00:00,Site_1,374,696.93,19.72,663.18
2025-04-04 17:00:00,Site_1,362,715.53,20.64,655.89
2025-04-04 18:00:00,Site_1,309,548.55,20.18,562.17
2025-04-04 19:00:00,Site_1,284,608.64,21.97,512.79
2025-04-04 20:00:00,Site_1,195,282.22,23.59,413.93
2025-04-04 21:00:00,Site_1,161,322.08,22.62,336.8
2025-04-04 22:00:00,Site_1,122,187.16,28.03,284.59
2025-04-04 23:00:00,Site_1,67,177.18,30.57,212.06
2025-04-05 00:00:00,Site_1,173,485.71,26.34,353.42
2025-04-05 01:00:00,Site_1,166,419.83,23.27,338.92
2025-04-05 02:00:00,Site_1,166,316.85,25.66,351.54
2025-04-05 03:00:00,Site_1,178,545.04,22.44,349.07
2025-04-05 04:00:00,Site_1,177,576.0,27.86,362.62
2025-04-05 05:00:00,Site_1,239,783.36,22.01,460.95
2025-04-05 06:00:00,Site_1,284,982.95,23.94,523.3
2025-04-05 07:00:00,Site_1,319,948.93,22.25,563.07
2025-04-05 08:00:00,Site_1,382,1227.39,17.28,688.94
2025-04-05 09:00:00,Site_1,440,1389.34,14.9,761.04
2025-04-05 10:00:00,Site_1,514,1358.18,14.54,885.31
2025-04-05 11:00:00,Site_1,500,1359.77,13.23,847.4
2025-04-05 12:00:00,Site_1,520,1269.75,13.95,871.2
2025-04-05 13:00:00,Site_1,518,1196.26,13.15,879.69
2025-04-05 14:00:00,Site_1,465,1020.61,13.05,795.34
2025-04-05 15:00:00,Site_1,495,963.25,11.33,830.72
2025-04-05 16:00:00,Site_1,468,845.75,15.96,816.7
2025-04-05 17:00:00,Site_1,491,897.56,13.97,830.28
2025-04-05 18:00:00,Site_1,381,620.57,17.84,653.1
2025-04-05 19:00:00,Site_1,347,567.73,20.9,633.78
2025-04-05 20:00:00,Site_1,292,593.75,23.54,532.96
2025-04-05 21:00:00,Site_1,220,372.18,23.89,423.92
2025-04-05 22:00:00,Site_1,241,558.13,23.05,443.85
2025-04-05 23:00:00,Site_1,202,496.16,25.68,420.41
2025-04-06 00:00:00,Site_1,185,358.95,23.49,364.61
2025-04-06 01:00:00,Site_1,137,326.67,27.54,306.08
2025-04-06 02:00:00,Site_1,201,644.5,25.79,410.63
2025-04-06 03:00:00,Site_1,149,387.38,27.81,327.72
2025-04-06 04:00:00,Site_1,227,677.25,21.15,439.9
2025-04-06 05:00:00,Site_1,304,993.27,20.22,538.98
2025-04-06 06:00:00,Site_1,268,904.6,21.3,493.9
2025-04-06 07:00:00,Site_1,325,1017.16,20.77,589.38
2025-04-06 08:00:00,Site_1,389,1172.47,19.11,675.63
2025-04-06 09:00:00,Site_1,417,1334.25,19.65,727.53
2025-04-06 10:00:00,Site_1,428,1324.13,16.28,748.82
2025-04-06 11:00:00,Site_1,497,1391.27,13.86,855.13
2025-04-06 12:00:00,Site_1,487,1222.62,16.68,818.24
2025-04-06 13:00:00,Site_1,531,1182.8,13.86,918.47
2025-04-06 14:00:00,Site_1,490,1003.67,16.75,842.67
2025-04-06 15:00:00,Site_1,534,1102.03,13.74,900.98
2025-04-06 16:00:00,Site_1,447,871.62,14.62,781.4
2025-04-06 17:00:00,Site_1,421,851.94,15.27,755.15
2025-04-06 18:00:00,Site_1,406,769.83,15.46,694.61
2025-04-06 19:00:00,Site_1,309,473.39,22.18,561.25
2025-04-06 20:00:00,Site_1,299,629.36,23.32,524.72
2025-04-06 21:00:00,Site_1,282,505.53,24.9,524.93
2025-04-06 22:00:00,Site_1,172,346.76,27.24,361.65
2025-04-06 23:00:00,Site_1,188,450.95,27.16,381.61
2025-04-07 00:00:00,Site_1,92,349.74,27.91,231.45
2025-04-07 01:00:00,Site_1,99,452.03,26.8,228.0
2025-04-07 02:00:00,Site_1,55,193.15,31.35,186.24
2025-04-07 03:00:00,Site_1,71,201.65,30.14,221.05
2025-04-07 04:00:00,Site_1,145,482.47,27.09,311.59
2025-04-07 05:00:00,Site_1,177,615.44,26.39,369.9
2025-04-07 06:00:00,Site_1,219,681.56,24.82,412.82
2025-04-07 07:00:00,Site_1,268,958.92,24.55,506.57
2025-04-07 08:00:00,Site_1,289,911.5,23.83,529.57
2025-04-07 09:00:00,Site_1,355,1093.08,20.39,624.88
2025-04-07 10:00:00,Site_1,394,1162.86,19.48,683.4
2025-04-07 11:00:00,Site_1,398,1092.4,18.84,693.06
2025-04-07 12:00:00,Site_1,480,1250.34,14.51,823.82
2025-04-07 13:00:00,Site_1,451,1008.76,17.35,763.38
2025-04-07 14:00:00,Site_1,404,835.1,15.77,702.03
2025-04-07 15:00:00,Site_1,432,800.16,18.46,747.59
2025-04-07 16:00:00,Site_1,362,711.92,17.54,632.01
2025-04-07 17:00:00,Site_1,369,719.74,19.51,671.47
2025-04-07 18:00:00,Site_1,335,630.47,19.01,593.97
2025-04-07 19:00:00,Site_1,239,536.37,24.47,451.81
2025-04-07 20:00:00,Site_1,237,448.49,23.65,445.72
2025-04-07 21:00:00,Site_1,180,401.03,23.31,387.98
2025-04-07 22:00:00,Site_1,153,263.45,27.28,335.03
2025-04-07 23:00:00,Site_1,151,326.92,25.85,317.13
2025-04-08 00:00:00,Site_1,79,239.23,30.56,229.56
2025-04-08 01:00:00,Site_1,61,214.5,29.87,193.51
2025-04-08 02:00:00,Site_1,63,161.91,30.39,197.07
2025-04-08 03:00:00,Site_1,83,244.29,27.66,221.06
2025-04-08 04:00:00,Site_1,130,312.74,26.57,287.51
2025-04-08 05:00:00,Site_1,178,543.93,25.08,370.38
2025-04-08 06:00:00,Site_1,220,757.42,25.59,424.55
2025-04-08 07:00:00,Site_1,280,923.83,24.72,538.17
2025-04-08 08:00:00,Site_1,306,980.54,20.08,546.31
2025-04-08 09:00:00,Site_1,386,1159.05,20.11,694.36
2025-04-08 10:00:00,Site_1,380,1083.42,15.45,668.89
2025-04-08 11:00:00,Site_1,483,1255.39,13.3,827.49
2025-04-08 12:00:00,Site_1,449,1164.43,14.85,781.83
2025-04-08 13:00:00,Site_1,418,994.53,15.34,720.7
2025-04-08 14:00:00,Site_1,407,904.57,15.38,719.14
2025-04-08 15:00:00,Site_1,427,824.58,17.67,713.42
2025-04-08 16:00:00,Site_1,381,592.33,18.34,664.3
2025-04-08 17:00:00,Site_1,367,735.18,19.72,641.26
2025-04-08 18:00:00,Site_1,318,543.67,21.91,564.46
2025-04-08 19:00:00,Site_1,258,418.79,23.37,484.85
2025-04-08 20:00:00,Site_1,192,405.21,26.27,391.86
2025-04-08 21:00:00,Site_1,132,241.14,27.28,305.03
2025-04-08 22:00:00,Site_1,121,323.75,25.98,283.91
2025-04-08 23:00:00,Site_1,125,326.87,29.21,280.84
2025-04-09 00:00:00,Site_1,91,268.51,27.93,240.19
2025-04-09 01:00:00,Site_1,48,50.0,28.92,173.24
2025-04-09 02:00:00,Site_1,90,329.22,28.58,244.36
2025-04-09 03:00:00,Site_1,113,354.11,26.68,277.27
2025-04-09 04:00:00,Site_1,110,319.53,27.52,265.3
2025-04-09 05:00:00,Site_1,173,558.08,26.46,350.53
2025-04-09 06:00:00,Site_1,214,578.23,25.03,414.47
2025-04-09 07:00:00,Site_1,231,758.21,22.57,441.0
2025-04-09 08:00:00,Site_1,315,916.7,20.24,569.35
2025-04-09 09:00:00,Site_1,364,1009.01,20.87,648.68
2025-04-09 10:00:00,Site_1,414,1088.56,18.25,728.15
2025-04-09 11:00:00,Site_1,442,1251.84,19.64,762.49
2025-04-09 12:00:00,Site_1,399,959.74,19.81,698.66
2025-04-09 13:00:00,Site_1,416,1056.66,19.16,725.43
2025-04-09 14:00:00,Site_1,446,926.75,14.31,763.84
2025-04-09 15:00:00,Site_1,428,755.71,18.17,732.75
2025-04-09 16:00:00,Site_1,400,690.52,17.92,682.45
2025-04-09 17:00:00,Site_1,446,887.59,15.56,762.05
2025-04-09 18:00:00,Site_1,320,566.65,21.05,584.73
2025-04-09 19:00:00,Site_1,288,492.37,23.34,524.97
2025-04-09 20:00:00,Site_1,237,458.43,24.46,453.12
2025-04-09 21:00:00,Site_1,186,403.04,24.17,383.66
2025-04-09 22:00:00,Site_1,124,333.64,28.77,291.21
2025-04-09 23:00:00,Site_1,123,372.13,26.74,273.7
2025-04-10 00:00:00,Site_1,66,143.41,30.02,208.97
2025-04-10 01:00:00,Site_1,74,118.84,28.95,222.27
2025-04-10 02:00:00,Site_1,73,183.24,29.12,198.2
2025-04-10 03:00:00,Site_1,106,333.08,29.44,250.76
2025-04-10 04:00:00,Site_1,190,532.36,23.79,396.91
2025-04-10 05:00:00,Site_1,123,333.24,30.61,283.03
2025-04-10 06:00:00,Site_1,230,756.63,21.22,422.8
2025-04-10 07:00:00,Site_1,219,692.66,23.44,414.5
2025-04-10 08:00:00,Site_1,294,915.2,22.27,538.51
2025-04-10 09:00:00,Site_1,377,1083.6,19.68,653.87
2025-04-10 10:00:00,Site_1,388,1091.98,18.27,677.87
2025-04-10 11:00:00,Site_1,388,984.84,18.33,682.32
2025-04-10 12:00:00,Site_1,415,1090.91,18.09,737.12
2025-04-10 13:00:00,Site_1,456,1119.5,15.69,781.1
2025-04-10 14:00:00,Site_1,415,781.48,19.56,733.23
2025-04-10 15:00:00,Site_1,421,788.34,18.52,745.79
2025-04-10 16:00:00,Site_1,388,645.0,19.73,696.34
2025-04-10 17:00:00,Site_1,333,568.34,18.9,602.35
2025-04-10 18:00:00,Site_1,360,642.99,19.28,620.37
2025-04-10 19:00:00,Site_1,275,414.58,21.92,517.11
2025-04-10 20:00:00,Site_1,162,251.48,24.82,353.48
2025-04-10 21:00:00,Site_1,174,288.64,26.45,360.19
2025-04-10 22:00:00,Site_1,116,261.84,27.13,291.45
2025-04-10 23:00:00,Site_1,125,294.01,28.61,296.1
2025-04-11 00:00:00,Site_1,66,121.7,28.08,204.68
2025-04-11 01:00:00,Site_1,77,217.06,31.88,226.36
2025-04-11 02:00:00,Site_1,98,246.5,27.23,250.33
2025-04-11 03:00:00,Site_1,125,358.07,27.95,262.57
2025-04-11 04:00:00,Site_1,102,417.24,29.62,248.01
2025-04-11 05:00:00,Site_1,161,591.79,25.51,353.47
2025-04-11 06:00:00,Site_1,201,565.23,26.24,393.42
2025-04-11 07:00:00,Site_1,243,821.59,21.65,462.27
2025-04-11 08:00:00,Site_1,350,1135.86,21.93,614.55
2025-04-11 09:00:00,Site_1,360,1009.3,19.42,657.84
2025-04-11 10:00:00,Site_1,355,1060.88,18.68,649.31
2025-04-11 11:00:00,Site_1,438,1266.63,16.22,748.16
2025-04-11 12:00:00,Site_1,486,1147.65,16.2,830.47
2025-04-11 13:00:00,Site_1,465,1023.2,14.85,790.7
2025-04-11 14:00:00,Site_1,395,910.31,17.05,698.65
2025-04-11 15:00:00,Site_1,403,824.31,17.56,709.6
2025-04-11 16:00:00,Site_1,418,824.69,15.6,735.12
2025-04-11 17:00:00,Site_1,332,625.95,23.11,601.32
2025-04-11 18:00:00,Site_1,317,594.04,20.06,604.85
2025-04-11 19:00:00,Site_1,279,429.27,23.48,508.22
2025-04-11 20:00:00,Site_1,190,422.66,25.66,367.89
2025-04-11 21:00:00,Site_1,168,407.02,24.64,348.07
2025-04-11 22:00:00,Site_1,51,95.89,30.21,160.82
2025-04-11 23:00:00,Site_1,78,178.26,30.45,202.08
2025-04-12 00:00:00,Site_1,159,305.63,26.15,328.49
2025-04-12 01:00:00,Site_1,128,374.05,29.31,282.78
2025-04-12 02:00:00,Site_1,206,621.42,26.32,399.45
2025-04-12 03:00:00,Site_1,148,439.52,28.2,327.18
2025-04-12 04:00:00,Site_1,201,691.81,24.28,396.44
2025-04-12 05:00:00,Site_1,253,783.52,21.53,477.7
2025-04-12 06:00:00,Site_1,329,1086.68,19.56,602.44
2025-04-12 07:00:00,Site_1,304,904.37,21.65,548.34
2025-04-12 08:00:00,Site_1,415,1287.67,18.29,719.85
2025-04-12 09:00:00,Site_1,430,1277.38,13.69,748.66
2025-04-12 10:00:00,Site_1,442,1273.22,16.52,743.58
2025-04-12 11:00:00,Site_1,507,1337.18,14.49,836.65
2025-04-12 12:00:00,Site_1,518,1287.11,13.45,880.46
2025-04-12 13:00:00,Site_1,504,1218.25,16.3,860.92
2025-04-12 14:00:00,Site_1,515,1081.04,14.61,893.14
2025-04-12 15:00:00,Site_1,486,878.05,16.96,830.58
2025-04-12 16:00:00,Site_1,470,995.05,15.23,813.2
2025-04-12 17:00:00,Site_1,446,896.33,17.8,767.05
2025-04-12 18:00:00,Site_1,426,689.26,19.54,741.97
2025-04-12 19:00:00,Site_1,309,604.95,23.15,580.17
2025-04-12 20:00:00,Site_1,346,625.07,18.25,597.76
2025-04-12 21:00:00,Site_1,201,418.82,24.58,405.64
2025-04-12 22:00:00,Site_1,208,464.85,24.2,433.36
2025-04-12 23:00:00,Site_1,198,445.06,25.8,399.82
2025-04-13 00:00:00,Site_1,173,385.47,26.97,376.01
2025-04-13 01:00:00,Site_1,144,344.66,25.7,309.71
2025-04-13 02:00:00,Site_1,160,401.03,26.5,339.68
2025-04-13 03:00:00,Site_1,171,462.23,22.99,356.84
2025-04-13 04:00:00,Site_1,197,607.89,27.27,373.32
2025-04-13 05:00:00,Site_1,271,817.79,21.75,494.82
2025-04-13 06:00:00,Site_1,302,1007.32,21.51,542.03
2025-04-13 07:00:00,Site_1,322,1111.95,20.27,591.22
2025-04-13 08:00:00,Site_1,409,1235.64,19.4,722.22
2025-04-13 09:00:00,Site_1,437,1323.17,12.45,758.74
2025-04-13 10:00:00,Site_1,487,1417.93,14.93,838.74
2025-04-13 11:00:00,Site_1,511,1398.4,13.96,864.86
2025-04-13 12:00:00,Site_1,493,1237.06,14.06,851.52
2025-04-13 13:00:00,Site_1,505,1215.57,16.91,857.59
2025-04-13 14:00:00,Site_1,532,1172.73,12.05,898.58
2025-04-13 15:00:00,Site_1,511,950.31,15.27,863.84
2025-04-13 16:00:00,Site_1,466,934.65,16.22,805.84
2025-04-13 17:00:00,Site_1,432,841.14,18.77,743.79
2025-04-13 18:00:00,Site_1,418,706.6,16.37,736.76
2025-04-13 19:00:00,Site_1,325,595.03,19.53,576.18
2025-04-13 20:00:00,Site_1,307,622.39,22.9,549.51
2025-04-13 21:00:00,Site_1,244,476.67,24.1,472.87
2025-04-13 22:00:00,Site_1,207,509.43,22.44,409.61
2025-04-13 23:00:00,Site_1,211,631.1,23.81,411.96
2025-04-14 00:00:00,Site_1,106,217.84,28.87,267.9
2025-04-14 01:00:00,Site_1,100,185.25,29.76,243.93
2025-04-14 02:00:00,Site_1,118,354.53,26.85,275.0
2025-04-14 03:00:00,Site_1,104,354.77,23.99,269.99
2025-04-14 04:00:00,Site_1,149,448.97,27.57,338.89
2025-04-14 05:00:00,Site_1,162,601.73,24.5,358.72
2025-04-14 06:00:00,Site_1,221,626.88,21.24,428.68
2025-04-14 07:00:00,Site_1,256,854.67,18.79,496.31
2025-04-14 08:00:00,Site_1,309,923.47,22.41,554.01
2025-04-14 09:00:00,Site_1,364,1193.33,19.45,636.93
2025-04-14 10:00:00,Site_1,366,1162.65,18.85,625.5
2025-04-14 11:00:00,Site_1,468,1208.79,17.7,818.73
2025-04-14 12:00:00,Site_1,408,987.03,18.68,703.36
2025-04-14 13:00:00,Site_1,409,999.98,20.11,712.23
2025-04-14 14:00:00,Site_1,462,970.07,13.74,783.9
2025-04-14 15:00:00,Site_1,435,869.46,16.72,759.45
2025-04-14 16:00:00,Site_1,402,762.82,15.5,699.24
2025-04-14 17:00:00,Site_1,365,550.53,18.88,634.45
2025-04-14 18:00:00,Site_1,306,549.97,20.92,563.42
2025-04-14 19:00:00,Site_1,237,390.87,24.64,441.16
2025-04-14 20:00:00,Site_1,215,377.58,24.54,414.13
2025-04-14 21:00:00,Site_1,153,393.39,27.58,308.43
2025-04-14 22:00:00,Site_1,157,262.16,27.56,321.26
2025-04-14 23:00:00,Site_1,100,280.67,31.73,251.79
2025-04-15 00:00:00,Site_1,65,145.76,29.25,177.85
2025-04-15 01:00:00,Site_1,71,173.58,28.1,191.69
2025-04-15 02:00:00,Site_1,96,321.02,29.01,243.98
2025-04-15 03:00:00,Site_1,90,289.95,27.65,229.56
2025-04-15 04:00:00,Site_1,112,382.13,30.3,287.92
2025-04-15 05:00:00,Site_1,176,617.09,25.42,382.34
2025-04-15 06:00:00,Site_1,219,680.92,23.49,419.82
2025-04-15 07:00:00,Site_1,247,747.77,22.65,476.07
2025-04-15 08:00:00,Site_1,294,848.12,22.79,548.49
2025-04-15 09:00:00,Site_1,355,1013.69,19.34,626.53
2025-04-15 10:00:00,Site_1,351,1177.3,18.75,611.54
2025-04-15 11:00:00,Site_1,380,1093.53,21.2,669.88
2025-04-15 12:00:00,Site_1,415,956.44,16.19,720.77
2025-04-15 13:00:00,Site_1,434,927.02,16.86,746.64
2025-04-15 14:00:00,Site_1,441,977.06,17.54,765.92
2025-04-15 15:00:00,Site_1,452,939.11,13.73,770.49
2025-04-15 16:00:00,Site_1,408,805.6,18.44,700.48
2025-04-15 17:00:00,Site_1,346,615.76,18.31,620.09
2025-04-15 18:00:00,Site_1,306,543.27,22.52,562.86
2025-04-15 19:00:00,Site_1,234,446.45,22.37,439.23
2025-04-15 20:00:00,Site_1,212,406.64,25.62,427.28
2025-04-15 21:00:00,Site_1,162,191.66,27.99,325.3
2025-04-15 22:00:00,Site_1,140,287.21,28.39,304.22
2025-04-15 23:00:00,Site_1,83,141.38,29.47,221.92
2025-04-16 00:00:00,Site_1,99,258.01,28.19,242.14
2025-04-16 01:00:00,Site_1,118,495.49,27.01,271.35
2025-04-16 02:00:00,Site_1,83,258.6,31.3,243.21
2025-04-16 03:00:00,Site_1,114,322.62,26.96,262.49
2025-04-16 04:00:00,Site_1,149,518.13,25.23,347.91
2025-04-16 05:00:00,Site_1,159,533.97,27.43,342.87
2025-04-16 06:00:00,Site_1,219,726.01,23.14,429.42
2025-04-16 07:00:00,Site_1,260,862.21,21.47,494.76
2025-04-16 08:00:00,Site_1,309,1083.21,19.02,588.8
2025-04-16 09:00:00,Site_1,330,920.49,19.73,585.06
2025-04-16 10:00:00,Site_1,387,1131.37,18.33,669.3
2025-04-16 11:00:00,Site_1,428,1091.96,17.38,734.45
2025-04-16 12:00:00,Site_1,470,1208.33,16.98,805.32
2025-04-16 13:00:00,Site_1,463,1018.5,16.59,777.24
2025-04-16 14:00:00,Site_1,487,1022.01,14.67,830.72
2025-04-16 15:00:00,Site_1,396,776.28,17.84,710.94
2025-04-16 16:00:00,Site_1,409,833.11,18.45,715.01
2025-04-16 17:00:00,Site_1,354,700.75,21.52,628.07
2025-04-16 18:00:00,Site_1,361,575.06,19.55,635.32
2025-04-16 19:00:00,Site_1,239,439.2,22.93,467.49
2025-04-16 20:00:00,Site_1,192,321.03,23.79,379.74
2025-04-16 21:00:00,Site_1,155,235.27,24.41,350.96
2025-04-16 22:00:00,Site_1,79,156.83,30.23,237.83
2025-04-16 23:00:00,Site_1,90,190.19,29.72,237.57
2025-04-17 00:00:00,Site_1,67,313.1,30.52,200.38
2025-04-17 01:00:00,Site_1,83,248.51,28.9,234.81
2025-04-17 02:00:00,Site_1,94,185.24,30.82,251.95
2025-04-17 03:00:00,Site_1,151,418.35,25.99,318.44
2025-04-17 04:00:00,Site_1,156,545.85,27.97,328.73
2025-04-17 05:00:00,Site_1,155,617.61,26.52,319.28
2025-04-17 06:00:00,Site_1,190,512.84,24.44,389.09
2025-04-17 07:00:00,Site_1,272,751.12,23.37,514.67
2025-04-17 08:00:00,Site_1,273,960.26,23.06,496.0
2025-04-17 09:00:00,Site_1,395,1206.39,18.71,687.95
2025-04-17 10:00:00,Site_1,416,1133.5,17.56,710.53
2025-04-17 11:00:00,Site_1,404,1115.27,17.8,697.01
2025-04-17 12:00:00,Site_1,391,819.36,21.9,692.01
2025-04-17 13:00:00,Site_1,473,1097.01,17.22,802.17
2025-04-17 14:00:00,Site_1,431,946.32,18.0,743.49
2025-04-17 15:00:00,Site_1,446,949.7,16.56,752.73
2025-04-17 16:00:00,Site_1,347,596.31,21.37,622.37
2025-04-17 17:00:00,Site_1,335,616.13,21.05,602.06
2025-04-17 18:00:00,Site_1,306,495.27,21.33,551.71
2025-04-17 19:00:00,Site_1,261,491.35,22.41,489.61
2025-04-17 20:00:00,Site_1,202,328.82,24.81,404.8
2025-04-17 21:00:00,Site_1,185,346.44,20.77,369.35
2025-04-17 22:00:00,Site_1,106,168.15,28.61,244.24
2025-04-17 23:00:00,Site_1,100,270.95,27.77,268.06
2025-04-18 00:00:00,Site_1,89,274.01,31.27,227.17
2025-04-18 01:00:00,Site_1,92,232.59,28.81,237.03
2025-04-18 02:00:00,Site_1,103,295.84,26.61,264.61
2025-04-18 03:00:00,Site_1,75,137.71,29.3,247.79
2025-04-18 04:00:00,Site_1,94,274.0,27.14,228.56
2025-04-18 05:00:00,Site_1,201,635.39,25.68,406.0
2025-04-18 06:00:00,Site_1,221,864.45,24.7,424.42
2025-04-18 07:00:00,Site_1,241,698.73,25.0,456.11
2025-04-18 08:00:00,Site_1,345,1159.5,18.74,610.3
2025-04-18 09:00:00,Site_1,352,1114.04,19.73,616.74
2025-04-18 10:00:00,Site_1,416,1202.44,15.39,723.59
2025-04-18 11:00:00,Site_1,417,1223.57,18.46,710.75
2025-04-18 12:00:00,Site_1,485,1234.83,15.8,836.97
2025-04-18 13:00:00,Site_1,483,1143.34,15.84,825.05
2025-04-18 14:00:00,Site_1,427,914.86,17.06,744.72
2025-04-18 15:00:00,Site_1,440,955.63,17.22,755.34
2025-04-18 16:00:00,Site_1,403,828.98,20.3,700.83
2025-04-18 17:00:00,Site_1,384,662.82,18.13,678.88
2025-04-18 18:00:00,Site_1,282,428.45,22.34,511.36
2025-04-18 19:00:00,Site_1,277,493.03,20.68,511.92
2025-04-18 20:00:00,Site_1,239,404.61,22.33,449.9
2025-04-18 21:00:00,Site_1,126,248.82,27.74,280.09
2025-04-18 22:00:00,Site_1,103,295.7,30.05,233.4
2025-04-18 23:00:00,Site_1,53,95.46,29.76,192.89
